filename,width,height,class,xmin,ymin,xmax,ymax
-110603108-gettyimages-533567012.jpg,410,230,with_mask,147,31,291,223
-110695084-mask2.jpg,976,549,with_mask,244,54,506,403
0-with-mask.jpg,525,350,with_mask,231,61,377,234
007563.jpg,1360,1360,with_mask,401,347,925,992
1-respirator-mask.jpg,267,400,with_mask,44,65,221,286
1.jpg,846,480,without_mask,358,92,558,340
10-with-mask.jpg,233,350,with_mask,53,49,183,179
100-with-mask.jpg,320,428,with_mask,36,67,288,354
100.jpg,320,428,without_mask,47,83,278,360
101.jpg,320,428,without_mask,50,86,286,373
103-with-mask.jpg,320,428,with_mask,31,85,289,407
106 (2).jpg,428,484,without_mask,145,110,362,371
106.jpg,348,480,with_mask,59,39,259,276
107-with-mask.jpg,320,433,with_mask,24,78,294,378
107.jpg,320,433,without_mask,45,97,268,379
108-with-mask.jpg,320,428,with_mask,42,101,291,366
108.jpg,320,428,without_mask,56,113,279,370
10Pcs-pack-Disposable-Non-Woven-Black-Face-Mask-Earloop-Anti.jpg,640,640,with_mask,180,119,469,419
11.jpg,852,480,without_mask,445,74,699,403
110.jpg,594,960,without_mask,113,120,302,378
113-with-mask.jpg,320,428,with_mask,37,61,278,357
114.jpg,327,433,without_mask,70,91,291,375
115-with-mask.jpg,320,428,with_mask,36,66,282,369
115.jpg,320,428,without_mask,57,91,264,367
116-with-mask.jpg,300,300,with_mask,99,21,226,146
117-with-mask.jpg,320,428,with_mask,28,78,296,368
11707.jpg,350,519,without_mask,55,87,321,439
12-with-mask.jpg,622,350,with_mask,231,145,383,258
12.jpg,320,428,without_mask,62,68,296,361
122-with-mask.jpg,320,428,with_mask,50,60,295,358
125-with-mask.jpg,327,433,with_mask,53,68,283,353
125.jpg,327,433,without_mask,68,88,281,354
126-with-mask.jpg,320,433,with_mask,48,96,307,362
127.jpg,190,265,without_mask,15,50,158,197
128-with-mask.jpg,312,351,with_mask,42,53,262,271
128.jpg,312,351,without_mask,67,58,236,285
129-with-mask.jpg,320,428,with_mask,48,92,292,385
13-with-mask.jpg,524,350,with_mask,194,43,353,232
13.jpg,320,428,without_mask,29,72,292,373
130.jpg,768,960,without_mask,277,155,581,559
131-with-mask.jpg,340,417,with_mask,60,79,292,334
131.jpg,340,417,without_mask,81,93,259,328
132-with-mask.jpg,720,540,with_mask,270,122,378,253
132.jpg,720,540,without_mask,269,126,378,252
133-with-mask.jpg,320,428,with_mask,65,89,296,376
134-with-mask.jpg,320,428,with_mask,39,90,286,375
135-with-mask.jpg,320,428,with_mask,40,61,280,362
135.jpg,320,428,without_mask,61,79,263,362
136-with-mask.jpg,285,372,with_mask,18,62,250,292
136.jpg,285,372,without_mask,22,31,233,291
137-with-mask.jpg,259,194,with_mask,63,36,179,160
137.jpg,259,194,without_mask,63,32,178,167
138-with-mask.jpg,956,960,with_mask,352,314,601,552
138.jpg,956,960,without_mask,353,286,609,559
139-with-mask.jpg,320,428,with_mask,43,101,292,380
139.jpg,320,428,without_mask,34,71,299,386
14-with-mask.jpg,184,274,with_mask,44,49,144,151
14.jpg,184,274,without_mask,42,15,146,152
140-with-mask.jpg,320,428,with_mask,46,100,285,378
140.jpg,320,428,without_mask,43,74,299,388
141.jpg,197,256,without_mask,16,11,180,237
142.jpg,196,258,without_mask,34,25,172,188
144-with-mask.jpg,320,428,with_mask,41,85,309,374
145.jpg,320,428,without_mask,26,66,281,399
146.jpg,321,434,without_mask,50,41,286,341
147-with-mask.jpg,173,221,with_mask,11,55,141,174
148-with-mask.jpg,320,428,with_mask,69,72,291,327
149.jpg,320,428,without_mask,50,82,288,394
15-with-mask.jpg,467,350,with_mask,107,29,345,274
15.jpg,320,428,without_mask,38,57,288,370
150-with-mask.jpg,414,534,with_mask,28,105,345,464
151-with-mask.jpg,273,400,with_mask,11,86,262,370
151.jpg,273,400,without_mask,18,48,248,367
152-with-mask.jpg,205,246,with_mask,31,33,179,206
152.jpg,205,246,without_mask,31,24,184,206
153-with-mask.jpg,195,259,with_mask,7,48,194,254
153.jpg,195,259,without_mask,5,26,192,247
154-with-mask.jpg,226,250,with_mask,27,74,190,187
154.jpg,226,250,without_mask,21,27,179,200
155-with-mask.jpg,206,244,with_mask,33,38,136,137
155.jpg,206,244,without_mask,40,25,133,135
156-with-mask.jpg,260,194,with_mask,83,39,192,143
156.jpg,260,194,without_mask,84,30,200,149
157.jpg,374,584,without_mask,54,141,359,512
158-with-mask.jpg,320,433,with_mask,45,77,309,366
158.jpg,320,433,without_mask,47,69,303,365
159-with-mask.jpg,201,289,with_mask,10,81,185,242
16-with-mask.jpg,332,432,with_mask,66,97,272,315
16.jpg,512,594,without_mask,70,41,432,447
160.jpg,165,208,without_mask,36,19,120,128
161-with-mask.jpg,188,283,with_mask,1,134,178,255
162-with-mask.jpg,320,433,with_mask,34,93,318,375
162.jpg,320,433,without_mask,65,68,300,372
163-with-mask.jpg,320,433,with_mask,26,72,294,363
163.jpg,320,433,without_mask,45,74,282,369
164.jpg,192,262,without_mask,29,51,156,212
168-with-mask.jpg,225,240,with_mask,34,26,199,173
169-with-mask.jpg,257,196,with_mask,98,19,238,168
169.jpg,257,196,without_mask,108,24,232,172
17-with-mask.jpg,603,350,with_mask,174,65,416,316
17.jpg,322,436,without_mask,20,74,279,386
170-with-mask.jpg,203,248,with_mask,69,53,129,107
170.jpg,203,248,without_mask,65,55,133,110
171-with-mask.jpg,318,442,with_mask,37,84,289,374
171.jpg,318,442,without_mask,50,110,293,384
172-with-mask.jpg,259,194,with_mask,73,22,178,150
172.jpg,259,194,without_mask,64,9,183,157
173-with-mask.jpg,203,233,with_mask,57,46,136,144
175-with-mask.jpg,225,225,with_mask,57,29,163,148
175.jpg,225,225,without_mask,50,21,161,147
176-with-mask.jpg,320,428,with_mask,37,85,292,373
176.jpg,320,428,without_mask,37,103,290,369
177-with-mask.jpg,296,170,with_mask,85,38,199,154
178.jpg,320,428,without_mask,69,66,297,353
179-with-mask.jpg,189,267,with_mask,17,29,174,233
18-with-mask.jpg,341,431,with_mask,55,52,281,284
18.jpg,236,285,without_mask,51,46,205,215
181.jpg,202,249,without_mask,47,54,162,173
182-with-mask.jpg,320,428,with_mask,31,75,282,376
186.jpg,327,433,without_mask,60,67,291,372
188.jpg,259,194,without_mask,70,25,189,155
189-with-mask.jpg,246,352,with_mask,13,63,215,266
19-with-mask.jpg,603,340,with_mask,256,64,400,225
19.jpg,320,428,without_mask,52,93,288,367
190-with-mask.jpg,590,960,with_mask,174,181,482,477
191.jpg,513,590,without_mask,76,93,465,510
192-with-mask.jpg,480,640,with_mask,169,203,298,341
192.jpg,480,640,without_mask,178,197,300,343
194-with-mask.jpg,327,433,with_mask,55,35,315,377
194.jpg,327,433,without_mask,60,66,305,377
1947555.jpg,800,857,without_mask,72,142,708,810
195-with-mask.jpg,740,516,with_mask,144,25,459,321
195.jpg,740,516,without_mask,126,48,440,322
198-with-mask.jpg,225,225,with_mask,46,39,189,201
1lvl-1-surgical-mask-white-41805-front-copy.jpg,1500,1500,with_mask,447,389,1076,1065
2-with-mask.jpg,510,340,with_mask,170,86,341,287
2.jpg,320,433,without_mask,43,115,274,381
20.jpg,320,428,without_mask,49,81,308,350
200-with-mask.jpg,301,461,with_mask,87,33,252,220
202-with-mask.jpg,320,428,with_mask,33,80,278,365
204.jpg,327,433,without_mask,41,76,263,340
205-with-mask.jpg,318,159,with_mask,106,30,204,137
20pic5.jpg,420,329,without_mask,142,67,298,240
21-with-mask.jpg,493,493,with_mask,162,58,334,232
210.jpg,222,227,without_mask,16,8,216,214
211.jpg,225,225,without_mask,60,84,157,186
213.jpg,341,456,without_mask,40,99,276,361
216.jpg,320,428,without_mask,50,79,296,366
217-with-mask.jpg,327,433,with_mask,58,54,290,347
217.jpg,327,433,without_mask,63,52,284,337
218-with-mask.jpg,327,433,with_mask,53,77,289,367
22.jpg,441,494,without_mask,142,139,319,350
220.jpg,309,322,without_mask,42,71,224,239
221-with-mask.jpg,320,428,with_mask,38,74,280,380
221.jpg,320,428,without_mask,32,79,279,385
222-with-mask.jpg,320,428,with_mask,36,105,286,361
222.jpg,320,428,without_mask,42,87,281,372
223-with-mask.jpg,183,275,with_mask,9,2,178,204
223.jpg,183,275,without_mask,10,8,165,194
229.jpg,316,313,without_mask,98,39,246,207
23.jpg,194,260,without_mask,45,39,146,159
230.jpg,353,502,without_mask,46,50,338,421
231-with-mask.jpg,320,428,with_mask,49,61,287,347
232-with-mask.jpg,320,433,with_mask,54,123,299,352
233-with-mask.jpg,249,203,with_mask,55,47,194,190
233.jpg,249,203,without_mask,61,45,194,190
234-with-mask.jpg,290,417,with_mask,19,118,246,328
234.jpg,290,417,without_mask,54,98,239,311
235-with-mask.jpg,320,428,with_mask,60,53,291,347
236-with-mask.jpg,320,428,with_mask,69,102,294,346
237-with-mask.jpg,242,359,with_mask,18,76,228,288
238-with-mask.jpg,187,270,with_mask,51,95,133,180
239-with-mask.jpg,320,428,with_mask,65,107,306,374
239.jpg,320,428,without_mask,62,99,308,372
24-with-mask.jpg,349,367,with_mask,31,83,250,282
24.jpg,349,367,without_mask,34,99,272,260
240-with-mask.jpg,179,281,with_mask,39,70,145,204
240.jpg,179,281,without_mask,33,64,149,204
241-with-mask.jpg,229,220,with_mask,77,30,161,140
241.jpg,229,220,without_mask,71,23,165,144
243.jpg,345,390,without_mask,81,32,265,253
244.jpg,209,247,without_mask,43,49,186,202
245-with-mask.jpg,199,253,with_mask,39,77,159,196
246-with-mask.jpg,320,428,with_mask,32,101,273,384
246.jpg,320,428,without_mask,25,91,284,382
247.jpg,155,157,without_mask,30,19,120,116
248.jpg,315,395,without_mask,36,72,226,314
249.jpg,313,423,without_mask,26,113,233,360
250.jpg,320,433,without_mask,59,80,301,363
251-with-mask.jpg,388,489,with_mask,88,100,251,267
251.jpg,388,489,without_mask,93,91,254,262
252-with-mask.jpg,320,428,with_mask,41,62,292,364
252.jpg,320,428,without_mask,43,68,284,377
253-with-mask.jpg,318,442,with_mask,28,66,262,356
253.jpg,318,442,without_mask,28,76,264,353
254-with-mask.jpg,166,251,with_mask,24,41,127,166
254.jpg,166,251,without_mask,25,47,123,163
255-with-mask.jpg,308,384,with_mask,3,86,225,344
256-with-mask.jpg,193,261,with_mask,17,35,175,233
256.jpg,193,261,without_mask,21,41,174,235
257-with-mask.jpg,320,428,with_mask,52,94,320,371
258.jpg,320,428,without_mask,46,57,300,354
259-with-mask.jpg,327,433,with_mask,53,98,287,380
259.jpg,327,433,without_mask,65,87,293,383
25a0bb7104f6291c2737cdbe3e1a1671.jpg,1001,1001,with_mask,260,170,654,619
260-with-mask.jpg,320,428,with_mask,48,70,295,376
260.jpg,320,428,without_mask,40,76,292,365
261-with-mask.jpg,320,428,with_mask,36,85,287,370
263-with-mask.jpg,351,416,with_mask,13,128,287,366
263.jpg,351,416,without_mask,21,117,229,361
264.jpg,480,480,without_mask,119,64,341,329
265.jpg,225,224,without_mask,74,33,168,140
266.jpg,320,433,without_mask,43,48,293,371
267-with-mask.jpg,179,281,with_mask,31,42,144,148
267.jpg,179,281,without_mask,27,22,139,145
269-with-mask.jpg,277,405,with_mask,45,70,233,283
269.jpg,277,405,without_mask,59,53,235,273
27-with-mask.jpg,320,433,with_mask,36,89,289,383
27.jpg,320,433,without_mask,18,62,295,386
270-with-mask.jpg,408,432,with_mask,29,45,314,332
271.jpg,290,174,without_mask,63,21,152,139
272-with-mask.jpg,190,266,with_mask,26,47,142,188
273-with-mask.jpg,190,318,with_mask,35,66,185,229
274-with-mask.jpg,327,433,with_mask,35,75,297,361
275-with-mask.jpg,214,316,with_mask,19,40,196,246
275.jpg,214,316,without_mask,23,43,192,244
276-with-mask.jpg,205,251,with_mask,64,65,176,180
277-with-mask.jpg,320,428,with_mask,52,65,301,365
